!	0.00134226057540353
$	2.2673320530465e-06
'	0.000106564606493186
''	0.000281149174577766
'clock	0.000251673857888162
'd	0.000648456967171299
'll	0.00181159831038415
'm	0.00201565819515834
're	0.00046026840676844
's	0.00469791201391235
't	0.00716476928762694
've	0.000795833550619322
,	0.00656846095767571
.	0.0990529354014425
...	1.13366602652325e-05
1,000	9.069328212186e-06
10	2.7207984636558e-05
10,000	9.069328212186e-06
10-minute	2.2673320530465e-06
100	4.0811976954837e-05
100,000	2.2673320530465e-06
1000	2.2673320530465e-06
10000	4.534664106093e-06
10th	2.2673320530465e-06
11	2.2673320530465e-06
12	2.2673320530465e-06
15	2.2673320530465e-06
150	2.2673320530465e-06
18	4.534664106093e-06
19	4.534664106093e-06
1939	2.2673320530465e-06
1941	2.2673320530465e-06
1943	2.2673320530465e-06
1960	2.2673320530465e-06
1968	2.2673320530465e-06
1969	2.2673320530465e-06
1979	2.2673320530465e-06
1980	4.534664106093e-06
1985	2.2673320530465e-06
1990	4.534664106093e-06
2	4.534664106093e-06
20	1.8138656424372e-05
20,000	4.534664106093e-06
200,000	2.2673320530465e-06
2000	2.2673320530465e-06
20000	4.534664106093e-06
22	2.2673320530465e-06
24	2.2673320530465e-06
25,000	2.2673320530465e-06
3	1.8138656424372e-05
3-2	2.2673320530465e-06
30	2.94753166896045e-05
30000	2.2673320530465e-06
4	4.534664106093e-06
40,000	2.2673320530465e-06
400	2.2673320530465e-06
45	2.2673320530465e-06
5	2.2673320530465e-05
5,000	2.2673320530465e-06
50	1.13366602652325e-05
50,000	9.069328212186e-06
500	2.2673320530465e-06
50000	2.2673320530465e-06
5th	2.2673320530465e-06
6	1.3603992318279e-05
7	1.58713243713255e-05
70,000	2.2673320530465e-06
8	2.04059884774185e-05
800	2.2673320530465e-06
:	4.534664106093e-06
;	1.8138656424372e-05
</s>	0.113366602652325
?	0.0134724870592023
a	0.0181069137756294
aback	2.2673320530465e-06
abandon	2.2673320530465e-06
abandoned	1.58713243713255e-05
abashed	2.2673320530465e-06
abate	4.534664106093e-06
abated	2.2673320530465e-06
abc	2.2673320530465e-06
abhorrent	6.8019961591395e-06
abide	1.58713243713255e-05
abilities	2.2673320530465e-06
ability	8.1623953909674e-05
ablaze	2.2673320530465e-06
able	0.000344634472063068
abler	2.2673320530465e-06
abnormal	6.8019961591395e-06
aboard	1.8138656424372e-05
abolish	4.534664106093e-06
abortion	2.2673320530465e-06
abound	6.8019961591395e-06
abounds	4.534664106093e-06
about	0.00190909358866515
above	0.000154178579607162
abreast	4.534664106093e-06
abroad	0.00032422848358565
abrupt	6.8019961591395e-06
abruptly	2.2673320530465e-06
absconded	2.2673320530465e-06
absence	3.1742648742651e-05
absent	0.000206327216827232
absent-minded	2.2673320530465e-06
absented	2.2673320530465e-05
absentees	2.2673320530465e-06
absents	4.534664106093e-06
absolute	4.534664106093e-06
absolutely	2.49406525835115e-05
absorbed	2.49406525835115e-05
absorbs	2.2673320530465e-06
abstain	2.2673320530465e-06
abstained	2.2673320530465e-06
absurd	1.3603992318279e-05
absurdly	6.8019961591395e-06
abundance	4.534664106093e-06
abundant	6.8019961591395e-06
acceded	4.534664106093e-06
accent	4.534664106093e-06
accented	2.2673320530465e-06
accept	9.069328212186e-06
acceptable	6.8019961591395e-06
accepted	2.7207984636558e-05
accepting	2.2673320530465e-06
access	1.8138656424372e-05
accessible	6.8019961591395e-06
accessions	2.2673320530465e-06
accident	0.00063485297485302
accidental	2.2673320530465e-06
accidents	2.94753166896045e-05
acclimated	2.2673320530465e-06
accommodate	4.534664106093e-06
accommodated	1.13366602652325e-05
accommodates	2.2673320530465e-06
accommodation	4.534664106093e-06
accommodations	2.2673320530465e-06
accompanied	2.94753166896045e-05
accompanies	2.2673320530465e-06
accompany	2.04059884774185e-05
accomplish	1.8138656424372e-05
accord	9.069328212186e-06
according	3.1742648742651e-05
accordingly	2.2673320530465e-06
accords	2.2673320530465e-06
account	0.000240337197622929
accounted	2.2673320530465e-06
accounts	1.13366602652325e-05
accurate	1.13366602652325e-05
accurately	2.2673320530465e-06
accusation	2.2673320530465e-06
accuse	4.534664106093e-06
accused	9.069328212186e-06
accustom	9.069328212186e-06
accustomed	8.1623953909674e-05
ache	1.3603992318279e-05
ached	2.2673320530465e-06
aches	1.13366602652325e-05
achieved	9.069328212186e-06
achievements	2.2673320530465e-06
aching	1.3603992318279e-05
acknowledge	6.8019961591395e-06
acknowledged	9.069328212186e-06
acquaint	4.534664106093e-06
acquaintance	1.13366602652325e-05
acquaintances	2.2673320530465e-06
acquainted	4.9881305167023e-05
acquired	9.069328212186e-06
acquires	4.534664106093e-06
across	0.000231267869410743
act	3.40099807956975e-05
acted	2.04059884774185e-05
acting	4.534664106093e-06
action	3.40099807956975e-05
actions	1.58713243713255e-05
active	2.49406525835115e-05
activity	2.2673320530465e-06
actor	1.3603992318279e-05
actors	2.2673320530465e-06
actress	1.8138656424372e-05
actual	4.534664106093e-06
actually	2.04059884774185e-05
adamant	2.2673320530465e-06
adapt	4.534664106093e-06
adapted	4.534664106093e-06
add	2.2673320530465e-05
added	9.069328212186e-06
